run,index,valence_1,valence_2,valence_3,valence_4,valence_5,valence_6,valence_7,valence_8,arousal_1,arousal_2,arousal_3,arousal_4,arousal_5,arousal_6,arousal_7,arousal_8
S01E02R05,S01E02R05_clip0025,5.0,1.0,,,,,,,1.0,2.0,,,,,,
S01E02R05,S01E02R05_clip0026,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0027,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0028,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0029,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0030,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0031,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0032,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0033,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0034,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0035,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0036,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0037,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0038,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0039,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0040,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0041,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0042,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0043,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0044,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0045,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0046,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0047,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R05,S01E02R05_clip0048,5.0,1.0,,,,,,,1.0,9.0,,,,,,
S01E02R05,S01E02R05_clip0049,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0050,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R05,S01E02R05_clip0051,5.0,1.0,,,,,,,5.0,8.0,,,,,,
S01E02R05,S01E02R05_clip0052,5.0,1.0,,,,,,,5.0,10.0,,,,,,
S01E02R05,S01E02R05_clip0053,5.0,1.0,,,,,,,2.0,7.0,,,,,,
S01E02R05,S01E02R05_clip0054,5.0,1.0,,,,,,,2.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0055,5.0,1.0,,,,,,,2.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0056,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0057,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0058,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0059,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0060,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0061,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0062,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0063,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0064,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0065,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0066,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0067,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0068,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0069,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0070,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0071,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0072,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0073,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0074,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0075,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0076,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0077,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0078,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0079,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0080,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0081,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0082,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0083,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0084,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0085,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0086,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0087,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0088,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0089,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0090,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0091,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0092,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0093,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0094,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0095,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0096,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0097,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0098,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0099,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0100,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0101,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0102,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0103,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0104,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0105,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0106,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0107,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0108,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0109,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0110,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0111,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0112,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0113,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0114,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0115,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0116,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0117,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0118,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0119,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0120,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0121,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0122,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0123,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0124,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0125,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0126,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0127,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0128,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0129,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0130,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0131,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0132,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0133,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0134,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0135,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0136,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0137,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0138,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0139,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0140,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0141,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0142,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0143,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0144,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0145,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0146,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0147,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0148,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0149,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0150,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0151,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0152,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0153,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0154,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0155,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0156,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0157,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0158,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0159,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0160,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0161,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0162,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0163,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0164,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0165,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0166,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0167,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0168,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0169,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0170,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0171,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0172,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0173,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0174,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0175,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0176,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0177,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0178,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0179,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0180,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0181,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0182,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0183,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0184,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0185,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0186,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0187,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0188,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R05,S01E02R05_clip0189,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0190,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0191,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0192,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0193,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0194,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0195,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0196,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0197,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0198,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0199,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0200,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0201,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0202,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0203,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0204,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0205,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0206,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0207,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0208,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0209,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0210,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0211,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0212,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0213,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0214,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R05,S01E02R05_clip0215,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0216,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0217,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0218,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0219,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0220,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0221,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0222,5.0,1.0,,,,,,,1.0,2.0,,,,,,
S01E02R05,S01E02R05_clip0223,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0224,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0225,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0226,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0227,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0228,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R05,S01E02R05_clip0229,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0230,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0231,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0232,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0233,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0234,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0235,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0236,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0237,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0238,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0239,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0240,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0241,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0242,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0243,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0244,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0245,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0246,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0247,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0248,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0249,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0250,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0251,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0252,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0253,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0254,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0255,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0256,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0257,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0258,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0259,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0260,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0261,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0262,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0263,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0264,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0265,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0266,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0267,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0268,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0269,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0270,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0271,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0272,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0273,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0274,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0275,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0276,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0277,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0278,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0279,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0280,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0281,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0282,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0283,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0284,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0285,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0286,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0287,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0288,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0289,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0290,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0291,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0292,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0293,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R05,S01E02R05_clip0294,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0000,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0001,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0002,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0003,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0004,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0005,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0006,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R06,S01E02R06_clip0007,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R06,S01E02R06_clip0008,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0009,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0010,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0011,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0012,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0013,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0014,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0015,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0016,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0017,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0018,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0019,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0020,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0021,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R06,S01E02R06_clip0022,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R06,S01E02R06_clip0023,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R06,S01E02R06_clip0024,5.0,1.0,,,,,,,1.0,1.0,,,,,,
